Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
BEL 48-0156,State of Washington US President & Vice President,48,0,9,Total,,Write-in,3
BEL 48-0156,State of Washington US President & Vice President,48,0,9,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",7
BEL 48-0156,State of Washington US President & Vice President,48,0,9,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,45
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,275
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,,Write-in,2
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",6
SEA 34-1538,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,0
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Republican Party Nominees,Donald J. Trump and Michael R. Pence,33
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Socialism and Liberation Party Nominees,Gloria La Riva and Sunil Freeman,0
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Democratic Party Nominees,Joseph R. Biden and Kamala D. Harris,261
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,,Write-in,0
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Libertarian Party Nominees,"Jo Jorgensen and Jeremy ""Spike"" Cohen",6
SEA 34-1539,State of Washington US President & Vice President,34,0,7,Total,Green Party Nominees,Howie Hawkins and Angela Walker,1
SEA 34-1540,State of Washington US President & Vice President,34,0,7,Total,Socialist Workers Party Nominees,Alyson Kennedy and Malcolm M. Jarrett,0
