Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 231.0,0,275,424,180,879,52.79
President and Vice President,Donald J. Trump,REP,PRECINCT 232.0,0,188,369,143,700,42.97
President and Vice President,Donald J. Trump,REP,PRECINCT 233.0,0,194,314,73,581,35.75
President and Vice President,Donald J. Trump,REP,PRECINCT 234.0,0,0,0,0,141,21.04
President and Vice President,Donald J. Trump,REP,PRECINCT 235.0,0,0,0,0,176,33.85
President and Vice President,Donald J. Trump,REP,PRECINCT 236.0,0,65,97,41,203,17.73
President and Vice President,Donald J. Trump,REP,PRECINCT 237.0,0,50,80,36,166,16.90
President and Vice President,Donald J. Trump,REP,PRECINCT 238.0,0,0,0,0,96,10.65
President and Vice President,Donald J. Trump,REP,PRECINCT 239.0,0,101,108,43,252,11.76
President and Vice President,Donald J. Trump,REP,PRECINCT 239.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 240.0,0,83,116,52,251,12.33
President and Vice President,Donald J. Trump,REP,PRECINCT 241.0,0,146,149,61,356,19.02
President and Vice President,Donald J. Trump,REP,PRECINCT 242.0,0,115,122,74,311,15.05
President and Vice President,Donald J. Trump,REP,PRECINCT 243.0,0,0,0,0,72,10.67
President and Vice President,Donald J. Trump,REP,PRECINCT 244.0,0,56,135,45,236,13.74
President and Vice President,Donald J. Trump,REP,PRECINCT 245.0,0,75,79,40,194,17.03
President and Vice President,Donald J. Trump,REP,PRECINCT 246.0,0,329,533,141,1003,51.65
President and Vice President,Donald J. Trump,REP,PRECINCT 247.0,0,136,166,78,380,38.93
President and Vice President,Donald J. Trump,REP,PRECINCT 248.0,0,155,263,69,487,40.15
President and Vice President,Donald J. Trump,REP,PRECINCT 248.1,0,0,0,0,111,16.40
President and Vice President,Donald J. Trump,REP,PRECINCT 249.0,0,102,131,50,283,18.40
President and Vice President,Donald J. Trump,REP,PRECINCT 250.0,0,0,0,0,130,11.50
President and Vice President,Donald J. Trump,REP,PRECINCT 250.1,0,0,0,0,86,13.35
President and Vice President,Donald J. Trump,REP,PRECINCT 251.0,0,39,100,36,175,10.50
President and Vice President,Donald J. Trump,REP,PRECINCT 251.1,0,0,0,0,16,7.80
President and Vice President,Donald J. Trump,REP,PRECINCT 253.0,0,0,0,0,103,10.23
President and Vice President,Donald J. Trump,REP,PRECINCT 254.0,0,0,0,0,142,9.44
President and Vice President,Donald J. Trump,REP,PRECINCT 256.0,0,114,141,49,304,17.04
President and Vice President,Donald J. Trump,REP,PRECINCT 257.0,0,32,54,37,123,8.83
President and Vice President,Donald J. Trump,REP,PRECINCT 258.0,0,0,0,0,63,12.52
President and Vice President,Donald J. Trump,REP,PRECINCT 258.1,0,0,0,0,30,13.82
President and Vice President,Donald J. Trump,REP,PRECINCT 259.0,0,58,134,50,242,20.99
President and Vice President,Donald J. Trump,REP,PRECINCT 260.0,0,0,0,0,96,15.87
President and Vice President,Donald J. Trump,REP,PRECINCT 261.0,0,0,0,0,34,9.60
President and Vice President,Donald J. Trump,REP,PRECINCT 261.1,0,0,0,0,119,11.84
President and Vice President,Donald J. Trump,REP,PRECINCT 262.0,0,69,105,41,215,18.14
President and Vice President,Donald J. Trump,REP,PRECINCT 264.0,0,42,87,32,161,18.13
President and Vice President,Donald J. Trump,REP,PRECINCT 265.0,0,0,0,0,16,25.81
President and Vice President,Donald J. Trump,REP,PRECINCT 266.0,0,0,0,0,16,24.62
President and Vice President,Donald J. Trump,REP,PRECINCT 266.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 267.0,0,58,111,50,219,22.14
President and Vice President,Donald J. Trump,REP,PRECINCT 269.0,0,0,0,0,111,9.96
President and Vice President,Donald J. Trump,REP,PRECINCT 270.0,0,0,0,0,177,9.78
President and Vice President,Donald J. Trump,REP,PRECINCT 272.0,0,278,359,147,784,46.28
